TYPE_OF_ME,MASS_G,YEAR,DATABASE,COORDINATE,COORDINA_1
Doubtful Iron,0,-56,http://www.lpi.usra.edu/meteor/metbull.php?code=14723,40.5,16
Doubtful meteorite,0,452,http://www.lpi.usra.edu/meteor/metbull.php?code=23975,41.66667,25
Doubtful meteorite,0,856,http://www.lpi.usra.edu/meteor/metbull.php?code=23685,32.71667,36.56667
L6,472,861,http://www.lpi.usra.edu/meteor/metbull.php?code=16988,33.725,130.75
Doubtful meteorite,0,892,http://www.lpi.usra.edu/meteor/metbull.php?code=418,32.08333,44.33333
Stone-uncl,0,921,http://www.lpi.usra.edu/meteor/metbull.php?code=16914,42.51667,12.51667
Doubtful meteorite,0,952,http://www.lpi.usra.edu/meteor/metbull.php?code=4896,48.36667,10.88333
Doubtful meteorite,0,998,http://www.lpi.usra.edu/meteor/metbull.php?code=15385,52.13333,11.63333
Doubtful Iron,0,1009,http://www.lpi.usra.edu/meteor/metbull.php?code=12215,34.36667,62.13333
Doubtful meteorite,0,1112,http://www.lpi.usra.edu/meteor/metbull.php?code=394,45.78333,13.36667
Doubtful meteorite,0,1135,http://www.lpi.usra.edu/meteor/metbull.php?code=18011,51.3,11.18333
Doubtful Iron,0,1164,http://www.lpi.usra.edu/meteor/metbull.php?code=15471,51.15,13.46667
Doubtful meteorite,0,1186,http://www.lpi.usra.edu/meteor/metbull.php?code=16721,50.45,3.95
Doubtful meteorite,0,1249,http://www.lpi.usra.edu/meteor/metbull.php?code=18912,51.78333,11.13333
Doubtful meteorite,0,1250,http://www.lpi.usra.edu/meteor/metbull.php?code=24156,60.78333,46.36667
Doubtful Iron,50800,1332,http://www.lpi.usra.edu/meteor/metbull.php?code=5055,38.23333,28.1
Doubtful meteorite,0,1340,http://www.lpi.usra.edu/meteor/metbull.php?code=420,37.83333,27.8
Doubtful meteorite,0,1368,http://www.lpi.usra.edu/meteor/metbull.php?code=18008,52.95,8.16667
Doubtful meteorite,0,1379,http://www.lpi.usra.edu/meteor/metbull.php?code=16695,52.3,8.91667
"Iron, IID",107000,1400,http://www.lpi.usra.edu/meteor/metbull.php?code=7823,50.18333,12.73333
Doubtful stone,0,1438,http://www.lpi.usra.edu/meteor/metbull.php?code=22615,41.73333,-3.93333
